"Code","Occurrences_dans_spGQE","Présent_dans_spGQE"
"MRS_586",6,"✅ Oui"
"MRS_586",6,"✅ Oui"
"MRS_587",6,"✅ Oui"
"MRS_587",6,"✅ Oui"
"MRS_587",6,"✅ Oui"
"MRS_588",6,"✅ Oui"
"MRS_588",6,"✅ Oui"
"MRS_588",6,"✅ Oui"
"MRS_589",6,"✅ Oui"
"MRS_589",6,"✅ Oui"
"MRS_589",6,"✅ Oui"
"MRS_590",6,"✅ Oui"
"MRS_590",6,"✅ Oui"
"MRS_590",6,"✅ Oui"
"MRS_591",6,"✅ Oui"
"MRS_591",6,"✅ Oui"
"MRS_591",6,"✅ Oui"
"MRS_592",6,"✅ Oui"
"MRS_593",2,"✅ Oui"
"MRS_594",2,"✅ Oui"
"MRS_595",2,"✅ Oui"
"MRS_596",2,"✅ Oui"
"MRS_597",2,"✅ Oui"
"MRS_598",2,"✅ Oui"
"MRS_599",2,"✅ Oui"
"MRS_600",2,"✅ Oui"
"MLD_371",2,"✅ Oui"
"MLD_372",2,"✅ Oui"
"CHE_0318",0,"❌ Non"
"CHE_0320",0,"❌ Non"
"CHE_0321",0,"❌ Non"
"CHE_0322",0,"❌ Non"
"CHE_0323",0,"❌ Non"
"CHE_0325",0,"❌ Non"
"CHE_0326",0,"❌ Non"
"CHE_0327",0,"❌ Non"
"CHE_0328",0,"❌ Non"
"CHE_0329",0,"❌ Non"
"CHE_0330",0,"❌ Non"
"CHE_0331",0,"❌ Non"
"CHE_0333",0,"❌ Non"
"CHE_0334",0,"❌ Non"
"CHE_0335",0,"❌ Non"
"CHE_0336",0,"❌ Non"
"CHE_0338",0,"❌ Non"
"CHE_0339",0,"❌ Non"
"CHE_0340",0,"❌ Non"
"CHE_0341",0,"❌ Non"
"CHE_0343",0,"❌ Non"
"CHE_0345",0,"❌ Non"
"CHE_0346",0,"❌ Non"
"CHE_0347",0,"❌ Non"
"CHE_0348",0,"❌ Non"
"CHE_0349",0,"❌ Non"
"CHE_0350",0,"❌ Non"
"CHE_0351",0,"❌ Non"
"CHE_0352",0,"❌ Non"
"CHE_0353",0,"❌ Non"
"CHE_0354",0,"❌ Non"
"CHE_0356",0,"❌ Non"
"CHE_0357",0,"❌ Non"
"CHE_0358",0,"❌ Non"
"CHE_0359",0,"❌ Non"
"CHE_0361",0,"❌ Non"
"CHE_0362",0,"❌ Non"
"CHE_0363",0,"❌ Non"
"CHE_0364",0,"❌ Non"
"CHE_0367",0,"❌ Non"
"CHE_0368",0,"❌ Non"
"CHE_0370",0,"❌ Non"
"CHE_0371",0,"❌ Non"
"CHE_0372",0,"❌ Non"
"CHE_0373",0,"❌ Non"
"CHE_0374",0,"❌ Non"
"CHE_0375",0,"❌ Non"
"CHE_0376",0,"❌ Non"
"CHE_0377",0,"❌ Non"
"CHE_0378",0,"❌ Non"
"CHE_0379",0,"❌ Non"
"CHE_0380",0,"❌ Non"
"CHE_0381",0,"❌ Non"
"CHE_0382",0,"❌ Non"
"CHE_0383",0,"❌ Non"
"CHE_0384",0,"❌ Non"
"CHE_0385",0,"❌ Non"
"CHE_0386",0,"❌ Non"
"CHE_0387",0,"❌ Non"
"CHE_0388",0,"❌ Non"
"CHE_0390",0,"❌ Non"
"CHE_0392",0,"❌ Non"
"CHE_0393",0,"❌ Non"
"CHE_0416",0,"❌ Non"
"CHE_0417",0,"❌ Non"
"CHE_0418",0,"❌ Non"
"CHE_0421",0,"❌ Non"
"CHE_0422",0,"❌ Non"
"CHE_0425",0,"❌ Non"
"CHE_0426",0,"❌ Non"
"EVA_Zm_00428",3,"✅ Oui"
"EVA_Zm_00429",2,"✅ Oui"
"EVA_Zm_00430",2,"✅ Oui"
"EVA_Zm_00431",2,"✅ Oui"
"EVA_Zm_00432",2,"✅ Oui"
"EVA_Zm_00433",2,"✅ Oui"
"EVA_Zm_00434",2,"✅ Oui"
"EVA_Zm_00435",2,"✅ Oui"
"EVA_Zm_00436",2,"✅ Oui"
"EVA_Zm_00437",2,"✅ Oui"
"EVA_Zm_00438",2,"✅ Oui"
"EVA_Zm_00439",2,"✅ Oui"
"EVA_Zm_00440",2,"✅ Oui"
"EVA_Zm_00441",2,"✅ Oui"
"EVA_Zm_00442",2,"✅ Oui"
"EVA_Zm_00443",2,"✅ Oui"
"EVA_Zm_00444",2,"✅ Oui"
"EVA_Zm_00445",2,"✅ Oui"
"EVA_Zm_00446",2,"✅ Oui"
"EVA_Zm_00447",2,"✅ Oui"
"EVA_Zm_00730",2,"✅ Oui"
"EVA_Zm_00731",2,"✅ Oui"
"EVA_Zm_00732",2,"✅ Oui"
"EVA_Zm_00733",2,"✅ Oui"
"EVA_Zm_00734",2,"✅ Oui"
"EVA_Zm_00735",2,"✅ Oui"
"EVA_Zm_00736",2,"✅ Oui"
"EVA_Zm_00737",2,"✅ Oui"
"EVA_Zm_00738",2,"✅ Oui"
"EVA_Zm_00739",2,"✅ Oui"
"EVA_Zm_00740",2,"✅ Oui"
"EVA_Zm_00741",2,"✅ Oui"
"EVA_Zm_00742",2,"✅ Oui"
"EVA_Zm_00743",2,"✅ Oui"
"EVA_Zm_00744",2,"✅ Oui"
"EVA_Zm_00745",2,"✅ Oui"
"EVA_Zm_00746",2,"✅ Oui"
"EVA_Zm_00747",3,"✅ Oui"
"EVA_Zm_00748",2,"✅ Oui"
"EVA_Zm_00749",2,"✅ Oui"
"EVA_Zm_00750",2,"✅ Oui"
"EVA_Zm_00751",3,"✅ Oui"
"EVA_Zm_00752",2,"✅ Oui"
"EVA_Zm_00753",2,"✅ Oui"
"EVA_Zm_00754",2,"✅ Oui"
"EVA_Zm_00755",2,"✅ Oui"
"EVA_Zm_00756",2,"✅ Oui"
"EVA_Zm_00757",2,"✅ Oui"
"EVA_Zm_00758",2,"✅ Oui"
"EVA_Zm_00759",2,"✅ Oui"
